Capitales de Provincia;Sexo;Año;Total
44216 Teruel;Hombre;2023;17.151
44216 Teruel;Hombre;2022;16.990
44216 Teruel;Mujer;2023;19.004
44216 Teruel;Mujer;2022;18.720
45168 Toledo;Hombre;2023;40.885
45168 Toledo;Hombre;2022;40.447
45168 Toledo;Mujer;2023;44.933
45168 Toledo;Mujer;2022;44.380
46250 València;Hombre;2023;381.448
46250 València;Hombre;2022;375.503
46250 València;Mujer;2023;422.673
46250 València;Mujer;2022;415.294
47186 Valladolid;Hombre;2023;139.108
47186 Valladolid;Hombre;2022;138.252
47186 Valladolid;Mujer;2023;158.021
47186 Valladolid;Mujer;2022;156.964
48020 Bilbao;Hombre;2023;163.496
48020 Bilbao;Hombre;2022;162.428
48020 Bilbao;Mujer;2023;181.739
48020 Bilbao;Mujer;2022;181.078
49275 Zamora;Hombre;2023;27.446
49275 Zamora;Hombre;2022;27.570
49275 Zamora;Mujer;2023;31.916
49275 Zamora;Mujer;2022;32.010
50297 Zaragoza;Hombre;2023;327.232
50297 Zaragoza;Hombre;2022;323.254
50297 Zaragoza;Mujer;2023;356.717
50297 Zaragoza;Mujer;2022;352.107
